"€350,000 "," Slí Na Misean, West Road, Westport, Co Mayo"
"€125,000 "," Derrynacong, Ballyhaunis, Co. Mayo"
"€55,000 "," Tawnaghmore, Ballyhaunis, Co. Mayo"
"€69,000 "," Kinaffe, Swinford, Co. Mayo"
"€195,000 "," Cloggernagh West, Islandeady, Castlebar, Co Mayo, F23 RD43"
"€160,000 "," No. 5 Rinn Na Shinna, Breaffy Road , Castlebar, Mayo"
"€210,000 "," 9 Churchview, Lahardane, Ballina, Mayo"
POA ," 36 Castlegrove East, Castlebar, Mayo"
"€165,000 "," 5 Rinn Na Shiona, Castlebar, Mayo"
"€120,000 "," Gurrane, Ballyhaunis, Co. Mayo"
"€75,000 "," 81 Boherduff, Claremorris, Mayo"
"€199,500 "," Liscarney, Westport, Mayo"
POA ," Knockmore, Ballina, Mayo"
"€55,000 "," Newtownwhite, Killala, Co Mayo, F26 V592"
"€158,500 "," Ballyvary Village, Ballyvary, Castlebar, Mayo"
POA ," Luxury Home For Sale , Castlebar, Mayo"
"€290,000 "," Roscahill, Westport, Mayo"
"€295,000 "," Derryharriff South, Castlebar, Mayo"
"AMV €50,000 "," Residence at Knock Road, Boherduff, Claremorris, Mayo"
"AMV €45,000 "," Ballyglass, Kilmovee, Mayo"
"€249,500  -€10,000 on 21st Jun 19 "," Carrowclogher, Ballyheane, Castlebar, Mayo"
